Error Range:(13.97,6.03)m|Error:3.97m|Estimated Error:8.07m
Error Range:(16.83,3.17)m|Error:6.83m|Estimated Error:5.45m
Error Range:(16.52,3.48)m|Error:6.52m|Estimated Error:5.86m
Error Range:(17.37,2.63)m|Error:7.37m|Estimated Error:4.15m
Error Range:(14.33,5.67)m|Error:4.33m|Estimated Error:4.25m
Error Range:(17.02,2.98)m|Error:7.02m|Estimated Error:12.04m
Error Range:(12.88,7.12)m|Error:2.88m|Estimated Error:2.01m
Error Range:(14.41,5.59)m|Error:4.41m|Estimated Error:9.14m
Error Range:(11.95,8.05)m|Error:1.95m|Estimated Error:2.17m
Error Range:(15.02,4.98)m|Error:5.02m|Estimated Error:4.06m
Error Range:(13.18,6.82)m|Error:3.18m|Estimated Error:7.24m
Error Range:(15.17,4.83)m|Error:5.17m|Estimated Error:7.71m
Error Range:(16.52,3.48)m|Error:6.52m|Estimated Error:8.95m
Error Range:(15.62,4.38)m|Error:5.62m|Estimated Error:5.90m
Error Range:(15.79,4.21)m|Error:5.79m|Estimated Error:9.96m
Error Range:(15.74,4.26)m|Error:5.74m|Estimated Error:6.77m
Error Range:(15.41,4.59)m|Error:5.41m|Estimated Error:4.11m
Error Range:(17.16,2.84)m|Error:7.16m|Estimated Error:8.20m
Error Range:(13.43,6.57)m|Error:3.43m|Estimated Error:2.05m
Error Range:(16.07,3.93)m|Error:6.07m|Estimated Error:9.85m
Error Range:(14.61,5.39)m|Error:4.61m|Estimated Error:5.47m
Error Range:(16.81,3.19)m|Error:6.81m|Estimated Error:11.39m
Error Range:(15.28,4.72)m|Error:5.28m|Estimated Error:6.18m
Error Range:(14.41,5.59)m|Error:4.41m|Estimated Error:3.15m
Error Range:(16.58,3.42)m|Error:6.58m|Estimated Error:8.28m
Error Range:(16.48,3.52)m|Error:6.48m|Estimated Error:8.86m
Error Range:(16.60,3.40)m|Error:6.60m|Estimated Error:5.87m
Error Range:(14.22,5.78)m|Error:4.22m|Estimated Error:6.00m
Error Range:(14.32,5.68)m|Error:4.32m|Estimated Error:7.16m
Error Range:(17.22,2.78)m|Error:7.22m|Estimated Error:7.57m
Error Range:(16.49,3.51)m|Error:6.49m|Estimated Error:4.07m
Error Range:(17.76,2.24)m|Error:7.76m|Estimated Error:10.44m
Error Range:(12.75,7.25)m|Error:2.75m|Estimated Error:4.53m
Error Range:(13.64,6.36)m|Error:3.64m|Estimated Error:0.32m
Error Range:(14.99,5.01)m|Error:4.99m|Estimated Error:5.38m
Error Range:(17.40,2.60)m|Error:7.40m|Estimated Error:11.14m
Error Range:(13.30,6.70)m|Error:3.30m|Estimated Error:0.01m
Error Range:(13.68,6.32)m|Error:3.68m|Estimated Error:2.05m
Error Range:(13.25,6.75)m|Error:3.25m|Estimated Error:6.62m
Error Range:(14.98,5.02)m|Error:4.98m|Estimated Error:7.45m
Error Range:(16.67,3.33)m|Error:6.67m|Estimated Error:8.97m
Error Range:(17.77,2.23)m|Error:7.77m|Estimated Error:7.91m
Error Range:(16.55,3.45)m|Error:6.55m|Estimated Error:6.97m
Error Range:(14.77,5.23)m|Error:4.77m|Estimated Error:13.94m
Error Range:(15.56,4.44)m|Error:5.56m|Estimated Error:3.67m
Error Range:(14.44,5.56)m|Error:4.44m|Estimated Error:10.35m
Error Range:(16.46,3.54)m|Error:6.46m|Estimated Error:6.70m
Error Range:(15.89,4.11)m|Error:5.89m|Estimated Error:13.11m
Error Range:(17.42,2.58)m|Error:7.42m|Estimated Error:5.63m
Error Range:(14.75,5.25)m|Error:4.75m|Estimated Error:11.87m
Error Range:(14.24,5.76)m|Error:4.24m|Estimated Error:10.69m
Error Range:(16.94,3.06)m|Error:6.94m|Estimated Error:11.42m
Error Range:(16.84,3.16)m|Error:6.84m|Estimated Error:7.95m
Error Range:(17.48,2.52)m|Error:7.48m|Estimated Error:8.46m
Error Range:(11.15,8.85)m|Error:1.15m|Estimated Error:0.00m
Error Range:(15.19,4.81)m|Error:5.19m|Estimated Error:0.00m
Error Range:(16.44,3.56)m|Error:6.44m|Estimated Error:8.10m
Error Range:(15.17,4.83)m|Error:5.17m|Estimated Error:4.06m
Error Range:(16.26,3.74)m|Error:6.26m|Estimated Error:9.28m
Error Range:(17.68,2.32)m|Error:7.68m|Estimated Error:5.88m
Error Range:(16.68,3.32)m|Error:6.68m|Estimated Error:6.76m
Error Range:(16.91,3.09)m|Error:6.91m|Estimated Error:8.21m
Error Range:(16.79,3.21)m|Error:6.79m|Estimated Error:5.83m
Error Range:(12.44,7.56)m|Error:2.44m|Estimated Error:4.64m
Error Range:(11.66,8.34)m|Error:1.66m|Estimated Error:0.01m
Error Range:(16.02,3.98)m|Error:6.02m|Estimated Error:6.53m
Error Range:(15.89,4.11)m|Error:5.89m|Estimated Error:6.36m
Error Range:(16.90,3.10)m|Error:6.90m|Estimated Error:9.03m
Error Range:(16.90,3.10)m|Error:6.90m|Estimated Error:6.54m
Error Range:(15.27,4.73)m|Error:5.27m|Estimated Error:4.96m
Error Range:(16.44,3.56)m|Error:6.44m|Estimated Error:7.36m
Error Range:(11.94,8.06)m|Error:1.94m|Estimated Error:2.14m
Error Range:(16.95,3.05)m|Error:6.95m|Estimated Error:7.97m
Error Range:(13.41,6.59)m|Error:3.41m|Estimated Error:0.00m
Error Range:(14.83,5.17)m|Error:4.83m|Estimated Error:0.05m
Error Range:(18.27,1.73)m|Error:8.27m|Estimated Error:8.72m
Error Range:(15.44,4.56)m|Error:5.44m|Estimated Error:6.22m
Error Range:(13.67,6.33)m|Error:3.67m|Estimated Error:10.51m
Error Range:(17.35,2.65)m|Error:7.35m|Estimated Error:8.47m
Error Range:(17.45,2.55)m|Error:7.45m|Estimated Error:9.09m
Error Range:(16.30,3.70)m|Error:6.30m|Estimated Error:9.13m
Error Range:(12.75,7.25)m|Error:2.75m|Estimated Error:0.00m
Error Range:(17.82,2.18)m|Error:7.82m|Estimated Error:7.30m
Error Range:(18.65,1.35)m|Error:8.65m|Estimated Error:7.42m
Error Range:(15.67,4.33)m|Error:5.67m|Estimated Error:0.00m
Error Range:(12.45,7.55)m|Error:2.45m|Estimated Error:2.02m
Error Range:(17.85,2.15)m|Error:7.85m|Estimated Error:8.76m
Error Range:(14.11,5.89)m|Error:4.11m|Estimated Error:7.83m
Error Range:(15.82,4.18)m|Error:5.82m|Estimated Error:7.27m
Error Range:(17.28,2.72)m|Error:7.28m|Estimated Error:10.77m
Error Range:(15.10,4.90)m|Error:5.10m|Estimated Error:4.55m
Error Range:(13.51,6.49)m|Error:3.51m|Estimated Error:5.87m
Error Range:(16.93,3.07)m|Error:6.93m|Estimated Error:10.50m
Error Range:(16.31,3.69)m|Error:6.31m|Estimated Error:11.45m
Error Range:(15.32,4.68)m|Error:5.32m|Estimated Error:11.09m
Error Range:(15.14,4.86)m|Error:5.14m|Estimated Error:5.12m
Error Range:(15.77,4.23)m|Error:5.77m|Estimated Error:6.50m
Error Range:(15.36,4.64)m|Error:5.36m|Estimated Error:6.59m
Error Range:(13.73,6.27)m|Error:3.73m|Estimated Error:2.02m
Error Range:(14.96,5.04)m|Error:4.96m|Estimated Error:5.34m
